Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-07,UST OAT Hoodie Jacket,3,JUC,UST OAT Hoodie Jacket
2024-05-07,UST OAT MUG (W inside),7,JUC,UST OAT MUG (W inside)
2024-05-07,UST OAT MUG (Y/B inside),13,JUC,UST OAT MUG (Y/B inside)
2024-05-07,UST Santo Tomas Script T-Shirt,0,JUC,UST Santo Tomas Script T-Shirt
2024-05-07,UST T-Shirt (College Shirt),1,JUC,UST T-Shirt (College Shirt)
2024-05-07,UST T-Shirt Happy Tiger,2,JUC,UST T-Shirt Happy Tiger
2024-05-07,UST T-Shirt Sporty,4,JUC,UST T-Shirt Sporty
2024-05-07,UST T-Shirt Tiger Pattern,4,JUC,UST T-Shirt Tiger Pattern
2024-05-07,GT 375,0,JYL ATHLETICA,GT 375
2024-05-07,Jacket @1900,2,JYL ATHLETICA,Jacket
2024-05-07,Poloshirt 123456 @860,0,JYL ATHLETICA,Poloshirt 123456 @860
2024-05-07,Poloshirt 3 Colors @800,0,JYL ATHLETICA,Poloshirt 3 Colors
2024-05-07,VB Jersey with Sig. @1800,0,JYL ATHLETICA,VB Jersey with Sig. @1800
2024-05-07,VB Jersey with Sig. @2800,0,JYL ATHLETICA,VB Jersey with Sig. @2800
2024-05-07,VB Jersey without Sig @1000,0,JYL ATHLETICA,VB Jersey without Sig @1000
2024-05-07,VB Jersey without Sig @1500,0,JYL ATHLETICA,VB Jersey without Sig @1500
2024-05-07,VB Jersey without Sig @2000,0,JYL ATHLETICA,VB Jersey without Sig @2000
2024-05-07,Retractable @25,0,MITSUI,Retractable @25
2024-05-07,Stylus pen @45,0,MITSUI,Stylus pen @45
2024-05-07,Back pack,1,NAPOLIZ ENTERPRISES,Back pack
2024-05-07,Cane Umbrella,0,NAPOLIZ ENTERPRISES,Cane Umbrella
2024-05-07,Hoodies Breaker,2,NAPOLIZ ENTERPRISES,Hoodies Breaker
2024-05-07,Laptop Bag,0,NAPOLIZ ENTERPRISES,Laptop Bag
2024-05-07,Shirts,2,NAPOLIZ ENTERPRISES,Shirts
2024-05-07,Sling Bag,0,NAPOLIZ ENTERPRISES,Sling Bag
2024-05-07,Tote Bag Black,0,NAPOLIZ ENTERPRISES,Tote Bag Black
2024-05-07,Tote Bag White,0,NAPOLIZ ENTERPRISES,White Tote Bag
2024-05-07,Arch @320,12,TET AND DARS,Arch @320
2024-05-07,Eco Bag @ 130,0,TET AND DARS,Eco Bag @ 130
2024-05-07,Eco Bag @80,0,TET AND DARS,Eco Bag @80
2024-05-07,Keychain @160,0,TET AND DARS,Keychain @160
2024-05-07,Main Building,0,TET AND DARS,Main Building
2024-05-07,Mug @170,0,TET AND DARS,Mug @170
2024-05-07,Notebook @220,0,TET AND DARS,Notebook @220
2024-05-07,Pen @ 50,0,TET AND DARS,Pen @ 50
2024-05-07,Pen @25,0,TET AND DARS,Pen @25
2024-05-07,Sticker @ 115,0,TET AND DARS,Sticker @ 115
2024-05-07,Sticker @20,0,TET AND DARS,Sticker @20
2024-05-07,Auto Umbrella,0,USTORE,Auto Umbrella
2024-05-07,Bag,26,USTORE,Bag
2024-05-07,Eco Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-07,Keychain,6,USTORE,Keychain
2024-05-07,Kit Set,0,USTORE,Kit Set
2024-05-07,Lanyard @180,1,USTORE,Lanyard @180
2024-05-07,Lanyard @190,1,USTORE,Lanyard @190
2024-05-07,NB @100,0,USTORE,NB @100
2024-05-07,NB @75,0,USTORE,NB @75
2024-05-07,Sash Big,0,USTORE,Sash Big
2024-05-07,Sash Small,26,USTORE,Sash Small
2024-05-07,Shabby Hat,1,USTORE,Shabby Hat
2024-05-07,Tiger Stuff Toy Small Grad,2,USTORE,Tiger Stuff Toy Small Grad
2024-05-07,Tote (One For UST),4,USTORE,Tote (One For UST)
2024-05-07,Tote Bag Canvas White,1,USTORE,Tote Bag Canvas White
2024-05-07,Tote Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-07,Tubler @150,0,USTORE,Tumbler
2024-05-07,Umb (One For UST),2,USTORE,Umb (One For UST)
2024-05-07,Umb Old,41,USTORE,Umb Old @250
2024-05-07,Umb. Cane,0,USTORE,Umb. Cane
2024-05-07,Utensil,0,USTORE,Utensil
2024-05-07,Baller,0,VARSITY LIFE STYLE,Baller
2024-05-07,Caps,1,VARSITY LIFE STYLE,Caps
2024-05-07,Hoodie,0,VARSITY LIFE STYLE,Hoodie
2024-05-07,Keychain,0,VARSITY LIFE STYLE,Keychain
2024-05-07,Lanyard,1,VARSITY LIFE STYLE,Lanyard
2024-05-07,Long Sticker,0,VARSITY LIFE STYLE,Long Sticker
2024-05-07,Oversized Sweatshirt,0,VARSITY LIFE STYLE,Oversized Sweatshirt
2024-05-07,Scarves,0,VARSITY LIFE STYLE,Scarves
2024-05-07,Shirts,0,VARSITY LIFE STYLE,Shirts
2024-05-07,Sticker Pack,0,VARSITY LIFE STYLE,Sticker Pack
2024-05-07,Varsity Jacket,0,VARSITY LIFE STYLE,Varsity Jacket
2024-05-08,Crew Neck Shirt @475,0,BLAZE,Crew Neck Shirt @475
2024-05-08,Polo Shirt @800,1,BLAZE,Polo Shirt @800
2024-05-08,Socks @375,0,BLAZE,Socks @375
