product_id,item_name,n_obs,n_test,n_test_break,naive_last_MAE,naive_last_RMSE,naive_last_MAPE,naive_last_MAPE_sem,naive_last_MAE_break,naive_mean_MAE,naive_mean_RMSE,naive_mean_MAPE,naive_mean_MAPE_sem,naive_mean_MAE_break,prophet_base_MAE,prophet_base_RMSE,prophet_base_MAPE,prophet_base_MAPE_sem,prophet_base_MAE_break,prophet_reg_MAE,prophet_reg_RMSE,prophet_reg_MAPE,prophet_reg_MAPE_sem,prophet_reg_MAE_break,prophet_tuned_MAE,prophet_tuned_RMSE,prophet_tuned_MAPE,prophet_tuned_MAPE_sem,prophet_tuned_MAE_break,prophet_flatlog_MAE,prophet_flatlog_RMSE,prophet_flatlog_MAPE,prophet_flatlog_MAPE_sem,prophet_flatlog_MAE_break
359,Triple Black Embro,77,15,3,2.6,7.819,29.2,28.5,10.0,2.666,7.549,64.5,56.5,10.328,31.6,39.051,2476.4,2646.6,20.804,33.643,41.315,2671.8,2773.9,23.71,2.678,7.46,62.4,47.4,10.474,2.659,7.564,53.8,43.7,10.316
362,Tripple Embro Black Shirt,87,17,0,0.529,1.553,11.9,11.9,,0.779,1.467,41.5,41.5,,4.676,9.792,397.7,397.7,,3.647,7.026,302.0,302.0,,0.759,1.396,40.5,40.5,,0.675,1.46,29.5,29.5,
366,Two-toned windbreaker @1700,84,17,4,0.882,1.0,75.5,75.6,0.75,1.647,1.749,151.5,148.1,1.75,132.422,161.522,11599.6,11169.1,152.088,74.561,88.819,6542.5,6466.7,79.813,1.289,1.592,92.1,89.7,1.25,0.981,1.271,75.2,78.9,0.645
373,UST College ID Lace,330,66,5,7.652,14.786,57.8,59.1,3.4,7.149,13.203,100.9,103.5,3.147,6.926,13.641,79.7,82.2,2.738,8.073,14.18,91.8,95.3,4.101,8.151,14.334,98.6,102.2,4.553,8.421,15.332,62.6,60.9,6.016
376,"UST Embro OS (B,V)",64,13,0,5.538,6.038,310.8,310.8,,2.495,2.869,121.9,121.9,,184.0,242.37,5682.3,5682.3,,198.74,278.084,5876.6,5876.6,,3.897,4.705,128.2,128.2,,2.54,2.975,129.9,129.9,
384,UST OAT Hoodie Jacket,270,54,4,2.148,3.103,102.3,100.6,2.25,2.068,3.113,92.2,90.4,2.25,2.638,3.504,141.8,138.3,2.159,2.691,3.657,147.6,138.3,2.864,2.666,3.412,155.7,152.3,2.246,2.044,3.289,80.4,75.6,2.236
387,UST OAT MUG (W inside),74,15,3,2.467,3.941,46.6,39.8,3.0,2.866,3.317,167.7,203.0,0.904,27.093,36.983,1773.9,2046.7,26.332,21.393,31.802,1514.2,1854.7,5.759,8.74,12.456,585.1,708.7,3.674,4.693,9.13,249.0,297.1,2.346
390,"UST OAT MUG (Y,W,B)",83,17,3,4.412,6.131,79.2,87.8,7.667,4.61,5.895,94.7,106.5,7.293,131.7,217.411,5039.1,6104.3,11.095,71.724,143.618,3286.0,3968.7,14.667,7.516,9.093,88.9,100.0,7.255,5.622,7.097,64.2,65.2,6.682
391,UST OAT MUG (Y/B inside),62,12,0,5.083,8.088,69.6,69.6,,6.163,6.783,180.3,180.3,,6.054,8.738,99.3,99.3,,112.619,149.832,4061.0,4061.0,,7.383,8.195,245.6,245.6,,4.182,6.817,73.9,73.9,
394,UST OAT T-Shirt Y/B/COLLEGE,320,64,5,12.656,19.068,217.5,191.6,12.6,9.86,18.694,138.0,120.7,7.635,10.752,18.836,158.5,140.4,11.5,12.083,19.539,194.1,169.1,12.547,10.05,18.851,135.5,121.2,7.363,8.832,19.843,71.8,65.3,2.68
397,UST Sweatshirt Sporty,252,50,4,1.24,1.811,66.7,65.4,2.25,1.426,1.812,87.0,86.3,2.25,1.298,1.893,63.8,63.6,2.326,1.333,1.938,66.3,67.7,2.407,1.594,1.898,105.1,106.5,2.228,1.256,1.878,61.0,62.3,2.17
400,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,328,66,3,21.879,43.131,81.1,81.3,9.0,18.39,37.461,137.1,138.6,8.324,21.962,37.869,196.5,191.1,27.216,23.57,38.737,222.5,221.8,21.975,20.48,37.769,167.7,167.6,14.109,17.245,40.276,66.8,68.2,4.475
402,UST T-Shirt Sporty,351,70,4,1.729,2.487,46.2,45.0,2.25,5.666,5.877,348.5,358.9,5.077,2.303,2.839,143.3,149.8,1.041,2.354,2.889,139.3,144.7,1.753,1.93,2.433,86.0,86.6,2.576,1.85,2.236,123.0,128.8,0.918
410,UST-Pen W/Box,75,15,0,3.8,6.486,70.1,70.1,,4.213,5.826,163.1,163.1,,49.387,92.13,3700.1,3700.1,,27.986,63.933,2446.5,2446.5,,5.232,6.131,309.1,309.1,,4.246,6.69,96.7,96.7,
417,Umb (One For UST),213,43,0,10.186,28.171,107.3,107.3,,9.961,28.715,73.8,73.8,,10.531,28.612,67.4,67.4,,10.451,28.392,70.9,70.9,,12.997,30.554,88.9,88.9,,10.512,29.384,57.0,57.0,
425,Utensil,84,17,0,3.294,5.541,43.4,43.4,,7.362,8.139,532.7,532.7,,9.057,13.971,338.2,338.2,,19.08,24.497,918.8,918.8,,6.654,9.942,266.9,266.9,,5.014,7.072,271.5,271.5,
