Date,Item,Total Quantity,Supplier
2024-05-30,Jacket,1,JYL
2024-05-30,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-30,University of Santo Tomas (B),3,NAPOLIZ
2024-05-30,Wind Breaker,2,NAPOLIZ
2024-05-30,Arch,4,TET AND DARS
2024-05-30,Keychain,2,TET AND DARS
2024-05-30,Keychain,5,USTORE
2024-05-30,Lanyard,1,USTORE
2024-05-30,Sash Small,4,USTORE
2024-05-30,Shabby Hat,1,USTORE
2024-05-30,Tiger Stuff Toy Small Grad,24,USTORE
2024-05-30,Tote (One For UST),2,USTORE
2024-05-30,Umb (One For UST),3,USTORE
2024-05-30,Keychain,2,VARSITY LIFE STYLE
2024-05-30,Sticker Pack,1,VARSITY LIFE STYLE
2024-05-31,Polo Shirt,1,BLAZE
2024-05-31,Subli. Shirt,6,CENTRAL SEMINARY
