Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
APPAREL,13/11/2024,20,Yellow Happy Tiger,2XL,INSIDE,,450,8,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,2XL,OUTSIDE,,450,24,,
APPAREL,13/11/2024,21,Black Oat Shirt,XS,OUTSIDE,,375,7,,
APPAREL,13/11/2024,21,Black Oat Shirt,Small,OUTSIDE,,375,9,,
APPAREL,13/11/2024,21,Black Oat Shirt,Small,INSIDE,,375,10,,
APPAREL,13/11/2024,21,Black Oat Shirt,Medium,OUTSIDE,,375,8,,
APPAREL,13/11/2024,21,Black Oat Shirt,Medium,INSIDE,,375,8,,
APPAREL,13/11/2024,21,Black Oat Shirt,Large,OUTSIDE,,375,6,,
APPAREL,13/11/2024,21,Black Oat Shirt,Large,INSIDE,,375,4,,
APPAREL,13/11/2024,21,Black Oat Shirt,XL,OUTSIDE,,375,2,,
APPAREL,13/11/2024,21,Black Oat Shirt,XL,INSIDE,,375,9,,
APPAREL,13/11/2024,21,Black Oat Shirt,2XL,OUTSIDE,,375,1,,
APPAREL,13/11/2024,21,Black Oat Shirt,2XL,INSIDE,,375,23,,
APPAREL,13/11/2024,21,Black Oat Shirt,3XL,OUTSIDE,,375,9,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,XS,INSIDE,,375,14,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Small,INSIDE,,375,30,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Small,OUTSIDE,,375,4,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Medium,INSIDE,,375,12,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Medium,OUTSIDE,,375,9,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Large,INSIDE,,375,20,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,Large,OUTSIDE,,375,9,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,XL,INSIDE,,375,66,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,XL,OUTSIDE,,375,2,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,2XL,INSIDE,,375,46,,
APPAREL,13/11/2024,22,Yellow Oat Shirt,2XL,OUTSIDE,,375,3,,
APPAREL,13/11/2024,23,Black Sporty Shirt,Small,OUTSIDE,,450,10,,
APPAREL,13/11/2024,23,Black Sporty Shirt,Medium,OUTSIDE,,450,5,,
APPAREL,13/11/2024,23,Black Sporty Shirt,Large,OUTSIDE,,450,2,,
APPAREL,13/11/2024,23,Black Sporty Shirt,XL,INSIDE,,450,15,,
APPAREL,13/11/2024,23,Black Sporty Shirt,XL,OUTSIDE,,450,4,,
APPAREL,13/11/2024,23,Black Sporty Shirt,2Xl,INSIDE,,450,31,,
APPAREL,13/11/2024,23,Black Sporty Shirt,2XL,OUTSIDE,,450,3,,
APPAREL,13/11/2024,23,Black Sporty Shirt,3XL,INSIDE,,450,6,,
APPAREL,13/11/2024,23,Black Sporty Shirt,3XL,OUTSIDE,,450,1,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,XS,INSIDE,,450,46,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,XS,OUTSIDE,,450,12,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,Small,INSIDE,,450,2,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,Medium,INSIDE,,450,32,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,Medium,OUTSIDE,,450,4,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,Large,INSIDE,,450,15,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,Large,OUTSIDE,,450,2,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,XL,INSIDE,,450,25,,
