metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
81,261,Notelet,standard,walk_forward_30d_aggregate,semestral_break,1,140.00000000000006,140.00000000000006,400.00000000000017,5.0,5.0,14.285714285714285,0,,2026-07-31,2.5952626158599394,0.09268795056642637
82,267,"Oversized shirt (V,B) @650",standard,walk_forward_30d_aggregate,overall,12,17.333333333333336,30.67300659102941,122.72573668908977,40.666666666666664,81.62107570964744,331.37254901960785,1,0.0,2026-07-31,3.0349702882375924,7.120507214711274
83,267,"Oversized shirt (V,B) @650",standard,walk_forward_30d_aggregate,standard_period,11,16.454545454545457,30.985333774076235,137.7971998163814,39.18181818181818,83.50013609134255,377.6470588235294,1,0.0,2026-07-31,2.6709337500247923,6.3600687638711895
84,267,"Oversized shirt (V,B) @650",standard,walk_forward_30d_aggregate,semestral_break,1,27.0,27.0,47.368421052631575,57.0,57.0,100.0,1,,2026-07-31,16.2,34.199999999999996
85,276,Pen @30,simplified,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
86,276,Pen @30,simplified,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
87,276,Pen @30,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
88,277,Pen @40,standard,walk_forward_30d_aggregate,overall,12,30.25,39.45778334709981,162.03055038874672,130.66666666666666,293.45300589134655,310.7890499194847,1,0.0,2026-07-31,0.5909983961980815,2.552852576414853
89,277,Pen @40,standard,walk_forward_30d_aggregate,standard_period,11,28.90909090909092,38.914825405796655,176.65936918734008,118.9090909090909,296.306966137852,317.1376811594203,1,0.0,2026-07-31,0.5652290762938876,2.3249045024918384
90,277,Pen @40,standard,walk_forward_30d_aggregate,semestral_break,1,44.999999999999986,44.999999999999986,44.999999999999986,260.0,260.0,260.0,1,,2026-07-31,0.8719052744886971,5.03767491926803
91,291,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",standard,walk_forward_30d_aggregate,overall,12,44.833333333333336,80.95060222135473,126.07852213633397,149.66666666666666,378.2935368202846,354.091577713625,1,0.0,2026-07-31,2.868276445714358,9.575138469336407
92,291,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",standard,walk_forward_30d_aggregate,standard_period,11,48.90909090909091,84.55014649737322,126.07852213633397,163.27272727272728,395.11471291719363,354.091577713625,1,0.0,2026-07-31,3.129028849870209,10.445605602912444
93,291,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
94,326,Sticker @25,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
95,326,Sticker @25,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
96,326,Sticker @25,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
97,340,Thick Lanyard,standard,walk_forward_30d_aggregate,overall,12,10.749999999999995,34.69510051866112,2002.439024390243,85.0,293.5838892037504,463.4146341463414,1,0.0,2026-07-31,0.7186477977941235,5.682331424418653
98,340,Thick Lanyard,standard,walk_forward_30d_aggregate,standard_period,11,11.727272727272721,36.237850628615064,2002.439024390243,92.72727272727273,306.6383715536771,463.4146341463414,1,0.0,2026-07-31,0.7949146998287933,6.285372045157904
99,340,Thick Lanyard,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
100,346,Tiger Claw Keychain @375,minimal,walk_forward_30d_aggregate,overall,12,13.333333333333336,24.279621084357974,124.0277777777778,12.75,27.95383098372505,100.0,0,0.0,2026-07-31,2.0002014051505457,1.9126925936752088
101,346,Tiger Claw Keychain @375,minimal,walk_forward_30d_aggregate,standard_period,11,12.363636363636367,24.304881664539597,124.0277777777778,13.909090909090908,29.196824235771697,100.0,1,0.0,2026-07-31,1.8826471549823989,2.117978049355198
102,346,Tiger Claw Keychain @375,minimal,walk_forward_30d_aggregate,semestral_break,1,24.000000000000007,24.000000000000007,,0.0,0.0,,0,,2026-07-31,3.1764705882352953,0.0
103,350,Tiger Paw Keychain @375,standard,walk_forward_30d_aggregate,overall,12,76.83333333333333,115.97700921590739,318.31450851540257,214.0,481.8141066151274,429.9035241984361,1,0.0,2026-07-31,4.0516602003820905,11.284884375901527
