Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,Large,OUTSIDE,,1200.0,3.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,2XL,INSIDE,,1200.0,4.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,15.0,White Hoodie w/ Gold TIgers  Lettering,Medium,INSIDE,,1200.0,9.0,,,White Hoodie w/ Gold TIgers Lettering
APPAREL,2024-11-13,15.0,White Hoodie w/ Gold TIgers  Lettering,Medium,OUTSIDE,,1200.0,2.0,,,White Hoodie w/ Gold TIgers Lettering
APPAREL,2024-11-13,15.0,White Hoodie w/ Gold TIgers  Lettering,Large,OUTSIDE,,1200.0,3.0,,,White Hoodie w/ Gold TIgers Lettering
APPAREL,2024-11-13,16.0,Black Hoodie w/ Tigers Lettering,Medium,INSIDE,,1200.0,8.0,,,Black Hoodie w/ Tigers Lettering
APPAREL,2024-11-13,17.0,Yellow Hoodie w/ Tigers Lettering,Medium,INSIDE,,1200.0,14.0,,,Yellow Hoodie w/ Tigers Lettering
APPAREL,2024-11-13,18.0,Yellow Hoodie w/ black tiger head,Small,OUTSIDE,,1200.0,2.0,,,Yellow Hoodie w/ black tiger head
APPAREL,2024-11-13,18.0,Yellow Hoodie w/ black tiger head,Medium,OUTSIDE,,1200.0,7.0,,,Yellow Hoodie w/ black tiger head
APPAREL,2024-11-13,19.0,Black Happy Tiger,XS,INSIDE,,450.0,13.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,XS,OUTSIDE,,450.0,1.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Small,INSIDE,,450.0,22.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Small,OUTSIDE,,450.0,5.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Medium,INSIDE,,450.0,10.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Medium,OUTSIDE,,450.0,11.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Large,INSIDE,,450.0,15.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,Large,OUTSIDE,,450.0,10.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,XL,INSIDE,,450.0,23.0,,,Black Happy Tiger
